constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
U0714,PUDUCHERRY,RAJ BHAVAN,VIGNESH KANNAN,Dravida Munnetra Kazhagam,7304,V. P. RAMALINGAME,Bharatiya Janata Party,7017,287
U0712,PUDUCHERRY,KALAPET,SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,12069,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,11622,447
U078,PUDUCHERRY,INDIRA NAGAR,P.V. AROUMOUGAME @ AKD,All India N.R. Congress,12640,S. MOUROUGANE,Tamilaga Vettri Kazhagam,12056,584
U0719,PUDUCHERRY,ARIANKUPPAM,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,14210,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,13607,603
U072,PUDUCHERRY,THIRUBHUVANAI,AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,9740,B. KOBIGA,All India N.R. Congress,9039,701
U0717,PUDUCHERRY,NELLITHOPE,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,8226,OMSAKTHISEKAR,Independent,7376,850
U0713,PUDUCHERRY,MUTHIALPET,VAIYAPURI MANIKANDAN,All India N.R. Congress,8382,EERAM G. RAJENDRAN,Indian National Congress,7430,952
U0715,PUDUCHERRY,OUPALAM,A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,9099,S SIVA,Tamilaga Vettri Kazhagam,8073,1026
U0729,PUDUCHERRY,MAHE,ADV. T. ASHOK KUMAR,Independent,8375,RAMESH PARAMBATH,Indian National Congress,7260,1115
U0716,PUDUCHERRY,ORLEAMPETH,G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,9960,S. GOPAL,Dravida Munnetra Kazhagam,8759,1201
U0711,PUDUCHERRY,LAWSPET,V.P. SIVAKOLUNDHU,All India N.R. Congress,10578,M. VAITHIANATHAN,Indian National Congress,9161,1417
U075,PUDUCHERRY,VILLIANUR,B.RAVICOUMAR,All India N.R. Congress,16970,R.SIVA,Dravida Munnetra Kazhagam,15000,1970
U0728,PUDUCHERRY,NERAVY-T.R.PATTINAM,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,10818,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,8800,2018
U0718,PUDUCHERRY,MUDALIARPET,A. JOHNKUMAR,Bharatiya Janata Party,12945,L. SAMBATH,Dravida Munnetra Kazhagam,10574,2371
U0723,PUDUCHERRY,BAHOUR,R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,10520,T. THIAGARAJAN,All India N.R. Congress,8123,2397
U0726,PUDUCHERRY,KARAIKAL NORTH,P.R.N. THIRUMURUGAN,All India N.R. Congress,12731,A.M. RANJITH,Indian National Congress,10078,2653
U0720,PUDUCHERRY,MANAVELY,B.RAMU,Tamilaga Vettri Kazhagam,13822,EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,10729,3093
U073,PUDUCHERRY,OUSSUDU,P. KARTHIKEYAN,Indian National Congress,15400,E. THEEPPAINTHAN,Bharatiya Janata Party,11382,4018
U0721,PUDUCHERRY,EMBALAM,E. MOHANDOSS,All India N.R. Congress,16017,M. CANDASSAMY,Indian National Congress,11956,4061
U076,PUDUCHERRY,OZHUKARAI,K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,12635,SASIBALAN,Tamilaga Vettri Kazhagam,8401,4234
U079,PUDUCHERRY,THATTANCHAVADY,N. RANGASAMY,All India N.R. Congress,10024,E. VINAYAGAM,Neyam Makkal Kazhagam,5583,4441
U0724,PUDUCHERRY,NEDUNGADU,DR. V. VIGNESWARAN,Independent,14368,C. CHANDIRA PRIYANGA,All India N.R. Congress,9869,4499
U0730,PUDUCHERRY,YANAM,MALLADI KRISHNA RAO,All India N.R. Congress,19863,GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,15295,4568
U0727,PUDUCHERRY,KARAIKAL SOUTH,A.M.H. NAZEEM,Dravida Munnetra Kazhagam,12543,AVS SAKTHIVEL PRABU,Indian National Congress,6681,5862
U071,PUDUCHERRY,MANNADIPET,A. NAMASSIVAYAM,Bharatiya Janata Party,15918,T.P.R. SELVAME,Indian National Congress,9808,6110
U0722,PUDUCHERRY,NETTAPAKKAM,P. RAJAVELU,All India N.R. Congress,13665,G. ANBARASAN,Indian National Congress,6976,6689
U077,PUDUCHERRY,KADIRGAMAM,AZHAGU @ AZHAGANANTHAM,Independent,14633,K.S.P @ S. RAMESH,All India N.R. Congress,7629,7004
U074,PUDUCHERRY,MANGALAM,N. RANGASAMY,All India N.R. Congress,17917,S.S. RANGAN,Dravida Munnetra Kazhagam,10867,7050
U0725,PUDUCHERRY,THIRUNALLAR,G.N.S. RAJASEKARAN,Bharatiya Janata Party,16829,R. KAMALAKANNAN,Indian National Congress,7303,9526
U0710,PUDUCHERRY,KAMARAJ NAGAR,JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),16592,P.K. DEVADOSS,Indian National Congress,6387,10205
